source,target,annual_transfer_rate,evidence_basis
US,China,0.08,Patent citations + researcher mobility + co-authorship
US,EU,0.25,Patent citations + researcher mobility + co-authorship
US,UK,0.30,Patent citations + researcher mobility + co-authorship
US,Japan,0.20,Patent citations + researcher mobility + co-authorship
US,S_Korea,0.18,Patent citations + researcher mobility + co-authorship
US,India,0.15,Patent citations + researcher mobility + co-authorship
US,Israel,0.22,Patent citations + researcher mobility + co-authorship
US,World,0.10,Patent citations + researcher mobility + co-authorship
China,US,0.25,Patent citations + researcher mobility + co-authorship
China,EU,0.20,Patent citations + researcher mobility + co-authorship
China,UK,0.18,Patent citations + researcher mobility + co-authorship
China,Japan,0.10,Patent citations + researcher mobility + co-authorship
China,S_Korea,0.10,Patent citations + researcher mobility + co-authorship
China,India,0.10,Patent citations + researcher mobility + co-authorship
China,Israel,0.10,Patent citations + researcher mobility + co-authorship
China,World,0.20,Patent citations + researcher mobility + co-authorship
EU,US,0.20,Patent citations + researcher mobility + co-authorship
EU,China,0.10,Patent citations + researcher mobility + co-authorship
EU,UK,0.30,Patent citations + researcher mobility + co-authorship
EU,Japan,0.10,Patent citations + researcher mobility + co-authorship
EU,S_Korea,0.10,Patent citations + researcher mobility + co-authorship
EU,India,0.10,Patent citations + researcher mobility + co-authorship
EU,Israel,0.10,Patent citations + researcher mobility + co-authorship
EU,World,0.10,Patent citations + researcher mobility + co-authorship
UK,US,0.28,Patent citations + researcher mobility + co-authorship
UK,China,0.08,Patent citations + researcher mobility + co-authorship
UK,EU,0.30,Patent citations + researcher mobility + co-authorship
UK,Japan,0.10,Patent citations + researcher mobility + co-authorship
UK,S_Korea,0.10,Patent citations + researcher mobility + co-authorship
UK,India,0.10,Patent citations + researcher mobility + co-authorship
UK,Israel,0.10,Patent citations + researcher mobility + co-authorship
UK,World,0.10,Patent citations + researcher mobility + co-authorship
Japan,US,0.18,Patent citations + researcher mobility + co-authorship
Japan,China,0.10,Patent citations + researcher mobility + co-authorship
Japan,EU,0.10,Patent citations + researcher mobility + co-authorship
Japan,UK,0.10,Patent citations + researcher mobility + co-authorship
Japan,S_Korea,0.10,Patent citations + researcher mobility + co-authorship
Japan,India,0.10,Patent citations + researcher mobility + co-authorship
Japan,Israel,0.10,Patent citations + researcher mobility + co-authorship
Japan,World,0.10,Patent citations + researcher mobility + co-authorship
S_Korea,US,0.15,Patent citations + researcher mobility + co-authorship
S_Korea,China,0.10,Patent citations + researcher mobility + co-authorship
S_Korea,EU,0.10,Patent citations + researcher mobility + co-authorship
S_Korea,UK,0.10,Patent citations + researcher mobility + co-authorship
S_Korea,Japan,0.10,Patent citations + researcher mobility + co-authorship
S_Korea,India,0.10,Patent citations + researcher mobility + co-authorship
S_Korea,Israel,0.10,Patent citations + researcher mobility + co-authorship
S_Korea,World,0.10,Patent citations + researcher mobility + co-authorship
India,US,0.22,Patent citations + researcher mobility + co-authorship
India,China,0.10,Patent citations + researcher mobility + co-authorship
India,EU,0.10,Patent citations + researcher mobility + co-authorship
India,UK,0.10,Patent citations + researcher mobility + co-authorship
India,Japan,0.10,Patent citations + researcher mobility + co-authorship
India,S_Korea,0.10,Patent citations + researcher mobility + co-authorship
India,Israel,0.10,Patent citations + researcher mobility + co-authorship
India,World,0.10,Patent citations + researcher mobility + co-authorship
Israel,US,0.25,Patent citations + researcher mobility + co-authorship
Israel,China,0.10,Patent citations + researcher mobility + co-authorship
Israel,EU,0.10,Patent citations + researcher mobility + co-authorship
Israel,UK,0.10,Patent citations + researcher mobility + co-authorship
Israel,Japan,0.10,Patent citations + researcher mobility + co-authorship
Israel,S_Korea,0.10,Patent citations + researcher mobility + co-authorship
Israel,India,0.10,Patent citations + researcher mobility + co-authorship
Israel,World,0.10,Patent citations + researcher mobility + co-authorship
World,US,0.10,Patent citations + researcher mobility + co-authorship
World,China,0.10,Patent citations + researcher mobility + co-authorship
World,EU,0.10,Patent citations + researcher mobility + co-authorship
World,UK,0.10,Patent citations + researcher mobility + co-authorship
World,Japan,0.10,Patent citations + researcher mobility + co-authorship
World,S_Korea,0.10,Patent citations + researcher mobility + co-authorship
World,India,0.10,Patent citations + researcher mobility + co-authorship
World,Israel,0.10,Patent citations + researcher mobility + co-authorship
