date,severity_tier,title,category,source
2018-03,2,"Self-driving fatality (Tempe, AZ)",deployment,Partnership on AI Incident Database (curated)
2019-08,1,Image-classification bias controversy,fairness,Partnership on AI Incident Database (curated)
2020-04,2,Medical-AI under-diagnosis disparity,fairness,Partnership on AI Incident Database (curated)
2021-02,1,Recommender radicalization study,deployment,Partnership on AI Incident Database (curated)
2021-09,2,Code-completion license-leakage incident,ip,Partnership on AI Incident Database (curated)
2022-08,1,LLM jailbreak demonstrating PII leakage,security,Partnership on AI Incident Database (curated)
2023-03,2,Agentic prompt-injection in production tools,security,Partnership on AI Incident Database (curated)
2023-07,3,Critical-infrastructure misconfiguration,deployment,Partnership on AI Incident Database (curated)
2024-02,1,Election misinformation generation,misuse,Partnership on AI Incident Database (curated)
2024-06,2,Multimodal model produces non-consensual imagery,misuse,Partnership on AI Incident Database (curated)
2024-11,2,Open-weight model fine-tuned for malware,misuse,Partnership on AI Incident Database (curated)
2025-04,1,Coding agent commits unintended deletes,deployment,Partnership on AI Incident Database (curated)
2025-08,3,Autonomous-agent financial-trading cascade,deployment,Partnership on AI Incident Database (curated)
2025-11,2,AI-generated voice fraud at scale,misuse,Partnership on AI Incident Database (curated)
2026-02,2,Model-card discrepancy with deployed safety profile,transparency,Partnership on AI Incident Database (curated)
2026-04,1,Long-horizon agent loops on sensitive infra,deployment,Partnership on AI Incident Database (curated)
